Node,nxc,nyc,Node_new
238,14.024999999999999,53.225,
239,14.114999999999998,53.225,
240,14.205,53.225,
241,14.295,53.225,
242,14.385,53.225,
243,14.475,53.225,
244,14.565,53.225,
245,14.655,53.225,
246,14.745000000000001,53.225,
247,14.835,53.225,
248,14.925,53.225,
249,7.545,53.315,
250,7.635,53.315,
251,7.725,53.315,
252,7.815,53.315,
253,7.905,53.315,
254,7.995,53.315,
255,8.085,53.315,
256,8.175,53.315,
257,8.265,53.315,
258,8.355,53.315,
259,8.445,53.315,3.0
260,8.535,53.315,4.0
261,8.625,53.315,
262,8.715,53.315,
263,8.805,53.315,
264,8.895,53.315,
265,8.985,53.315,
266,9.075,53.315,
267,9.165,53.315,
268,9.254999999999999,53.315,
269,9.345,53.315,
270,9.435,53.315,
271,9.525,53.315,
272,9.615,53.315,
273,9.705,53.315,
274,9.795,53.315,
275,9.885,53.315,
276,9.975,53.315,
277,10.065,53.315,
278,10.155,53.315,
279,10.245000000000001,53.315,
280,10.335,53.315,
281,10.425,53.315,
282,10.515,53.315,
283,10.605,53.315,
284,10.695,53.315,
285,10.785,53.315,
286,10.875,53.315,
287,10.965,53.315,
288,11.055,53.315,
289,11.145,53.315,
290,11.235,53.315,
291,11.325,53.315,
292,11.415,53.315,
293,11.504999999999999,53.315,
294,11.594999999999999,53.315,
295,11.684999999999999,53.315,
296,11.774999999999999,53.315,
297,11.865,53.315,
298,11.955,53.315,
299,12.045,53.315,
300,12.135,53.315,
301,12.225,53.315,
302,12.315,53.315,
303,12.405000000000001,53.315,
304,12.495000000000001,53.315,
305,12.585,53.315,
306,12.675,53.315,
307,12.765,53.315,
308,12.855,53.315,
309,12.945,53.315,
310,13.035,53.315,
311,13.125,53.315,
312,13.215,53.315,
313,13.305,53.315,
314,13.395,53.315,
315,13.485,53.315,
316,13.575,53.315,
317,13.665,53.315,
318,13.754999999999999,53.315,
319,13.844999999999999,53.315,
320,13.934999999999999,53.315,
321,14.024999999999999,53.315,
322,14.114999999999998,53.315,
323,14.205,53.315,
324,14.295,53.315,
325,14.385,53.315,
326,14.475,53.315,
327,14.565,53.315,
328,14.655,53.315,
329,14.745000000000001,53.315,
330,14.835,53.315,
331,14.925,53.315,
332,7.545,53.405,
333,7.635,53.405,
334,7.725,53.405,
335,7.815,53.405,
336,7.905,53.405,
337,7.995,53.405,
338,8.085,53.405,
339,8.175,53.405,
340,8.265,53.405,
341,8.355,53.405,
342,8.445,53.405,5.0
343,8.535,53.405,6.0
344,8.625,53.405,
345,8.715,53.405,
346,8.805,53.405,
347,8.895,53.405,
348,8.985,53.405,
349,9.075,53.405,
350,9.165,53.405,
351,9.254999999999999,53.405,
352,9.345,53.405,
353,9.435,53.405,
354,9.525,53.405,
355,9.615,53.405,
356,9.705,53.405,
357,9.795,53.405,
358,9.885,53.405,
359,9.975,53.405,
360,10.065,53.405,
361,10.155,53.405,
362,10.245000000000001,53.405,
363,10.335,53.405,
364,10.425,53.405,
365,10.515,53.405,
366,10.605,53.405,
367,10.695,53.405,
368,10.785,53.405,
369,10.875,53.405,
370,10.965,53.405,
371,11.055,53.405,
372,11.145,53.405,
373,11.235,53.405,
374,11.325,53.405,
375,11.415,53.405,
376,11.504999999999999,53.405,
377,11.594999999999999,53.405,
378,11.684999999999999,53.405,
379,11.774999999999999,53.405,
380,11.865,53.405,
381,11.955,53.405,
382,12.045,53.405,
383,12.135,53.405,
384,12.225,53.405,
385,12.315,53.405,
386,12.405000000000001,53.405,
387,12.495000000000001,53.405,
388,12.585,53.405,
389,12.675,53.405,
390,12.765,53.405,
391,12.855,53.405,
392,12.945,53.405,
393,13.035,53.405,
394,13.125,53.405,
395,13.215,53.405,
396,13.305,53.405,
397,13.395,53.405,
398,13.485,53.405,
399,13.575,53.405,
400,13.665,53.405,
401,13.754999999999999,53.405,
402,13.844999999999999,53.405,
403,13.934999999999999,53.405,
404,14.024999999999999,53.405,
405,14.114999999999998,53.405,
406,14.205,53.405,
407,14.295,53.405,
408,14.385,53.405,
409,14.475,53.405,
410,14.565,53.405,7.0
411,14.655,53.405,8.0
412,14.745000000000001,53.405,
413,14.835,53.405,
414,14.925,53.405,
415,7.545,53.495,
416,7.635,53.495,
417,7.725,53.495,
418,7.815,53.495,
419,7.905,53.495,
420,7.995,53.495,
421,8.085,53.495,
422,8.175,53.495,9.0
423,8.265,53.495,
424,8.355,53.495,
425,8.445,53.495,
426,8.535,53.495,10.0
427,8.625,53.495,
428,8.715,53.495,
429,8.805,53.495,
430,8.895,53.495,
431,8.985,53.495,
432,9.075,53.495,
433,9.165,53.495,
434,9.254999999999999,53.495,
435,9.345,53.495,
436,9.435,53.495,
437,9.525,53.495,
438,9.615,53.495,
439,9.705,53.495,
440,9.795,53.495,
441,9.885,53.495,11.0
442,9.975,53.495,12.0
443,10.065,53.495,
444,10.155,53.495,
445,10.245000000000001,53.495,
446,10.335,53.495,
447,10.425,53.495,
448,10.515,53.495,
449,10.605,53.495,
450,10.695,53.495,
451,10.785,53.495,
452,10.875,53.495,
453,10.965,53.495,
454,11.055,53.495,
455,11.145,53.495,
456,11.235,53.495,
457,11.325,53.495,
458,11.415,53.495,
459,11.504999999999999,53.495,
460,11.594999999999999,53.495,
461,11.684999999999999,53.495,
462,11.774999999999999,53.495,
463,11.865,53.495,
464,11.955,53.495,
465,12.045,53.495,
466,12.135,53.495,
467,12.225,53.495,
468,12.315,53.495,
469,12.405000000000001,53.495,
470,12.495000000000001,53.495,
471,12.585,53.495,
472,12.675,53.495,
473,12.765,53.495,
474,12.855,53.495,
475,12.945,53.495,
476,13.035,53.495,
477,13.125,53.495,
